0,1,2
-3.179451775555398e-05,-0.0004419617853236748,-3.8344645895890975e-05
-3.155642010420905e-05,-0.00043961964121985985,-3.814097058434967e-05
-2.473745933476808e-05,-0.00035432593167209804,-3.073626221554692e-05
-2.4510382324101662e-05,-0.00035198293122916467,-3.053258669933946e-05
-2.448871748857441e-05,-0.00035191969661952803,-3.052698435599888e-05
-2.448137991790571e-05,-0.00035191848740905534,-3.052683025565544e-05
-2.4476371943744027e-05,-0.00035191883216368475,-3.052682602277112e-05
-2.4468557625949302e-05,-0.0003519194483017689,-3.0526826164389354e-05
-2.4450126969874472e-05,-0.0003519210069385555,-3.0526835595817886e-05
-2.4402934575152037e-05,-0.0003519286942933286,-3.052717864330713e-05
-2.4290162166318686e-05,-0.00035208212490668003,-3.053965033517133e-05
-2.4376189001237236e-05,-0.0003573310054528866,-3.099306439234112e-05
-3.845279945337541e-05,-0.0005472958421576847,-4.7477157245027674e-05
-3.856476961031561e-05,-0.000552542482276703,-4.793056712598112e-05
-3.843409666388029e-05,-0.0005526966089061471,-4.7942984526516264e-05
-3.830285011058189e-05,-0.0005526880255594692,-4.794136020429214e-05
-3.79910247178342e-05,-0.0005518834413424218,-4.786984466920617e-05
-3.503990306594164e-05,-0.0005219736385439784,-4.5269496260842786e-05
-3.485951438777057e-05,-0.0005209635288815584,-4.5181133462907867e-05
