S.no,frame_id,child_frame_id,X,Y,Z,o_x,o_y,o_z
138,-,-,-,-,-,-0.149117501066389,-2.49805339627276,0.003027161525863
139,-,-,-,-,-,-0.144160293149074,-2.49802338297851,0.003028511504144
140,-,-,-,-,-,-0.139201587530427,-2.49799335491077,0.003029336003279
141,-,-,-,-,-,-0.134092001483218,-2.49796241323637,0.003028770993802
142,-,-,-,-,-,-0.129134016495516,-2.49793241260602,0.003027992184019
143,-,-,-,-,-,-0.124178197268972,-2.49790245819315,0.003027483622647
144,-,-,-,-,-,-0.119074254261869,-2.49787166877361,0.003033518666453
145,-,-,-,-,-,-0.114121701118938,-2.49784180011256,0.003091539418305
146,-,-,-,-,-,-0.109205860044357,-2.49781034363778,0.003188428721732
147,base_footprint,36,0.015365597992066,-0.006625121701541,2.85690875340671,-0.109205860044357,-2.49781034363778,0.003188428721732
148,base_footprint,36,0.015365597992066,-0.006625121701541,2.85690875340671,-0.10412266552417,-2.49777757512389,0.003231201577922
149,base_footprint,36,0.014878086244675,-0.007065312384922,2.82049185201194,-0.10412266552417,-2.49777757512389,0.003231201577922
150,-,-,-,-,-,-0.099180294756294,-2.49774564743168,0.003233395620933
151,-,-,-,-,-,-0.094239719552763,-2.49771368830814,0.00323725430314
152,base_footprint,36,0.014878086244675,-0.007065312384922,2.82049185201194,-0.094239719552763,-2.49771368830814,0.00323725430314
153,-,-,-,-,-,-0.089149105921238,-2.49768072049245,0.003241970053467
154,-,-,-,-,-,-0.084207007193494,-2.49764866167716,0.003246341864225
155,base_footprint,36,0.014878086244675,-0.007065312384922,2.82049185201194,-0.084207007193494,-2.49764866167716,0.003246341864225
156,-,-,-,-,-,-0.079263401126429,-2.49761654574394,0.003250294136288
157,base_footprint,36,0.01553454748799,-0.009088455192555,2.79887718209419,-0.079263401126429,-2.49761654574394,0.003250294136288
158,base_footprint,36,0.016355130348651,-0.00721048237991,2.78603819152789,-0.079263401126429,-2.49761654574394,0.003250294136288
159,base_footprint,36,0.016355130348651,-0.00721048237991,2.78603819152789,-0.07416823593126,-2.49758340350797,0.003253802092318
160,-,-,-,-,-,-0.069221127403687,-2.49755119181047,0.003256640128807
161,base_footprint,36,0.016355130348651,-0.00721048237991,2.78603819152789,-0.069221127403687,-2.49755119181047,0.003256640128807
162,base_footprint,36,0.015395124411551,-0.006062820864514,2.76126868063773,-0.069221127403687,-2.49755119181047,0.003256640128807
163,base_footprint,36,0.015395124411551,-0.006062820864514,2.76126868063773,-0.064272185360593,-2.49751894205551,0.003258905440402
164,base_footprint,36,0.015395124411551,-0.006062820864514,2.76126868063773,-0.059171480053581,-2.49748568281617,0.00326117034973
165,base_footprint,36,0.01454828453126,-0.006909228126695,2.76124182768124,-0.059171480053581,-2.49748568281617,0.00326117034973
166,base_footprint,36,0.01454828453126,-0.006909228126695,2.76124182768124,-0.054219283574505,-2.49745336687054,0.003264196416705
167,-,-,-,-,-,-0.049265210543233,-2.49742101320146,0.003266487610913
168,base_footprint,36,0.01454828453126,-0.006909228126695,2.76124182768124,-0.049265210543233,-2.49742101320146,0.003266487610913
169,-,-,-,-,-,-0.044159117281307,-2.49738764901763,0.003268284345735
