S.no,time_stamp,X,Y,Z,X_O,Y_O,Z_O
2910,2022-06-12 20:16:02.166004419,0.1359493464231491,0.10080451369285583,0.0,0.0,0.0,0.0
2911,2022-06-12 20:16:02.173818588,0.1394659101963043,0.09728794097900391,0.0,0.0,0.0,0.0
2912,2022-06-12 20:16:02.176095724,0.1447355568408966,0.09377137720584869,0.0,0.0,0.0,0.0
2913,2022-06-12 20:16:02.180475950,0.14649384319782258,0.09026001691818238,0.0,0.0,0.0,0.0
2914,2022-06-12 20:16:02.187690734,0.14649384319782258,0.08850173950195313,0.0,0.0,0.0,0.0
2915,2022-06-12 20:16:02.188655614,0.15,0.0849851667881012,0.0,0.0,0.0,0.0
2916,2022-06-12 20:16:02.192277669,0.15,0.08323209285736084,0.0,0.0,0.0,0.0
2917,2022-06-12 20:16:02.196193933,0.15,0.07971552908420562,0.0,0.0,0.0,0.0
2918,2022-06-12 20:16:02.206770420,0.15,0.07795724272727966,0.0,0.0,0.0,0.0
2919,2022-06-12 20:16:02.208846807,0.15,0.07444067895412444,0.0,0.0,0.0,0.0
2920,2022-06-12 20:16:02.228730678,0.15,0.07444067895412444,0.0,0.0,0.0,0.0
2921,2022-06-12 20:16:02.253160476,0.15,0.07444067895412444,0.0,0.0,0.0,0.0
2922,2022-06-12 20:16:02.269565343,0.15,0.07444067895412444,0.0,0.0,0.0,0.0
2923,2022-06-12 20:16:02.296534299,0.15,0.07444067895412444,0.0,0.0,0.0,0.0
2924,2022-06-12 20:16:02.296843290,0.15,0.07268760055303573,0.0,0.0,0.0,0.0
2925,2022-06-12 20:16:02.301034688,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2926,2022-06-12 20:16:02.322678089,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2927,2022-06-12 20:16:02.342765092,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2928,2022-06-12 20:16:02.361554145,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2929,2022-06-12 20:16:02.383097648,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2930,2022-06-12 20:16:02.402824640,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2931,2022-06-12 20:16:02.423133850,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2932,2022-06-12 20:16:02.443140506,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2933,2022-06-12 20:16:02.461863279,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2934,2022-06-12 20:16:02.483523607,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2935,2022-06-12 20:16:02.503531217,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2936,2022-06-12 20:16:02.522214174,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2937,2022-06-12 20:16:02.548105478,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2938,2022-06-12 20:16:02.568855047,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2939,2022-06-12 20:16:02.590025186,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2940,2022-06-12 20:16:02.608890056,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2941,2022-06-12 20:16:02.628624677,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2942,2022-06-12 20:16:02.648288726,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2943,2022-06-12 20:16:02.668706893,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2944,2022-06-12 20:16:02.688916683,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2945,2022-06-12 20:16:02.708808183,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2946,2022-06-12 20:16:02.727978706,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2947,2022-06-12 20:16:02.748829364,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2948,2022-06-12 20:16:02.771136999,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2949,2022-06-12 20:16:02.792688846,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2950,2022-06-12 20:16:02.812845706,0.15,0.06917103230953216,0.0,0.0,0.0,0.0
2951,2022-06-12 20:16:02.816679954,0.15,0.06565446853637695,0.0,0.0,0.0,0.0
2952,2022-06-12 20:16:02.830496311,0.15,0.06214310824871063,0.0,0.0,0.0,0.0
2953,2022-06-12 20:16:02.842453002,0.15,0.06038482636213302,0.0,0.0,0.0,0.0
2954,2022-06-12 20:16:02.853229761,0.15,0.05686825811862945,0.0,0.0,0.0,0.0
2955,2022-06-12 20:16:02.860800981,0.15,0.05511517971754074,0.0,0.0,0.0,0.0
2956,2022-06-12 20:16:02.882466077,0.15,0.05511517971754074,0.0,0.0,0.0,0.0
2957,2022-06-12 20:16:02.897410631,0.15,0.05159861594438553,0.0,0.0,0.0,0.0
2958,2022-06-12 20:16:02.918407678,0.15,0.05159861594438553,0.0,0.0,0.0,0.0
2959,2022-06-12 20:16:02.938464403,0.15,0.05159861594438553,0.0,0.0,0.0,0.0
2960,2022-06-12 20:16:02.956790924,0.15,0.04984033405780792,0.0,0.0,0.0,0.0
2961,2022-06-12 20:16:02.972165822,0.15,0.04457068741321563,0.0,0.0,0.0,0.0
2962,2022-06-12 20:16:02.977482795,0.15,0.041054123640060426,0.0,0.0,0.0,0.0
2963,2022-06-12 20:16:02.980548381,0.15,0.039295841753482816,0.0,0.0,0.0,0.0
2964,2022-06-12 20:16:02.996698141,0.15,0.03753755986690521,0.0,0.0,0.0,0.0
2965,2022-06-12 20:16:03.2351760,0.15,0.03226791322231293,0.0,0.0,0.0,0.0
2966,2022-06-12 20:16:03.6492137,0.15,0.028751349449157713,0.0,0.0,0.0,0.0
2967,2022-06-12 20:16:03.12603998,0.15,0.026993067562580107,0.0,0.0,0.0,0.0
2968,2022-06-12 20:16:03.14285326,0.15,0.02348170503973961,0.0,0.0,0.0,0.0
2969,2022-06-12 20:16:03.34493446,0.15,0.02348170503973961,0.0,0.0,0.0,0.0
2970,2022-06-12 20:16:03.40492296,0.15,0.01820685714483261,0.0,0.0,0.0,0.0
2971,2022-06-12 20:16:03.45886754,0.15,0.016453776508569717,0.0,0.0,0.0,0.0
2972,2022-06-12 20:16:03.66855907,0.15,0.016453776508569717,0.0,0.0,0.0,0.0
2973,2022-06-12 20:16:03.70199012,0.15,0.012937212735414505,0.0,0.0,0.0,0.0
